Symbol,Available_Shares,Last_Updated
2391358D,100000,2024-12-11T19:45:03+00:00
A,9200000,2024-12-11T19:45:03+00:00
AA,4800000,2024-12-11T19:45:03+00:00
AAA,4000,2024-12-11T19:45:03+00:00
AAAU,400000,2024-12-11T19:45:03+00:00
AABB,10000000,2024-12-11T19:45:03+00:00
AABVF,30000,2024-12-11T19:45:03+00:00
AACAY,40000,2024-12-11T19:45:03+00:00
AACG,450000,2024-12-11T19:45:03+00:00
AACS,1700000,2024-12-11T19:45:03+00:00
AACT,1600000,2024-12-11T19:45:03+00:00
AACT U,4000,2024-12-11T19:45:03+00:00
AACTF,350000,2024-12-11T19:45:03+00:00
AADI,1000000,2024-12-11T19:45:03+00:00
AADI.OLD1,20000,2024-12-11T19:45:03+00:00
AADR,40000,2024-12-11T19:45:03+00:00
AAGC,3000000,2024-12-11T19:45:03+00:00
AAGFF,2100000,2024-12-11T19:45:03+00:00
AAGH.OLD1,950000,2024-12-11T19:45:03+00:00
AAGIY,100000,2024-12-11T19:45:03+00:00
AAGR,350000,2024-12-11T19:45:03+00:00
AAIIQ,1000,2024-12-11T19:45:03+00:00
AAIR,50000,2024-12-11T19:45:03+00:00
AAIRF,100000,2024-12-11T19:45:03+00:00
AAL,7800000,2024-12-11T19:45:03+00:00
AAM,550000,2024-12-11T19:45:03+00:00
AAM U,700,2024-12-11T19:45:03+00:00
AAMCF,100000,2024-12-11T19:45:03+00:00
AAME,50000,2024-12-11T19:45:03+00:00
AAMMF,250000,2024-12-11T19:45:03+00:00
AAMTF,30000,2024-12-11T19:45:03+00:00
AAMUQ,700000,2024-12-11T19:45:03+00:00
AAOI,2400000,2024-12-11T19:45:03+00:00
AAON,3100000,2024-12-11T19:45:03+00:00
AAP,3900000,2024-12-11T19:45:03+00:00
AAPB,15000,2024-12-11T19:45:03+00:00
AAPD,15000,2024-12-11T19:45:03+00:00
AAPH,2300000,2024-12-11T19:45:03+00:00
AAPI,4000,2024-12-11T19:45:03+00:00
AAPJ,10000000,2024-12-11T19:45:03+00:00
AAPL,10000000,2024-12-11T19:45:03+00:00
AAPR,6000,2024-12-11T19:45:03+00:00
AAPT,8300000,2024-12-11T19:45:03+00:00
AAPU,45000,2024-12-11T19:45:03+00:00
AAPX,15000,2024-12-11T19:45:03+00:00
AAPY,100,2024-12-11T19:45:03+00:00
AASP,6000,2024-12-11T19:45:03+00:00
AAST,10000,2024-12-11T19:45:03+00:00
AAT,2100000,2024-12-11T19:45:03+00:00
AATC,100000,2024-12-11T19:45:03+00:00
AATRL,450000,2024-12-11T19:45:03+00:00
AATV,800,2024-12-11T19:45:03+00:00
AAUAF,2900000,2024-12-11T19:45:03+00:00
AAUGF,100000,2024-12-11T19:45:03+00:00
AAVMY,50000,2024-12-11T19:45:03+00:00
AAVVF,3100000,2024-12-11T19:45:03+00:00
AAWH,4400000,2024-12-11T19:45:03+00:00
AAXJ,1000,2024-12-11T19:45:03+00:00
AAXT,15000,2024-12-11T19:45:03+00:00
AB,1900000,2024-12-11T19:45:03+00:00
ABAT,950000,2024-12-11T19:45:03+00:00
ABAT.OLD1,9900000,2024-12-11T19:45:03+00:00
