============================== Log file: /root/Jts/icopnbfaaahbkaaifhhfgmfniokpgodflegemoce/ibgateway.20241212.142628.ibgzenc =============================
2024-12-12 14:26:28.295 [VC] INFO  [JTS-PostAuthenticateS3-33] - Created on: 20241212
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - ------------------------------- IB GATEWAY RESTART --------------------------------
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - Build 10.23.2a, Jun 15, 2023 4:54:18 PM
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - Started on 20241212-14:26:28
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - Default timezone:Africa/Abidjan name:Greenwich Mean Time dst:0
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - java version = 1.8.0_202
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - sun.arch.data.model = 64
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - os = Linux
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - os version = 5.15.0-126-generic
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - os architecture = 32
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - runtime = Java(TM) SE Runtime Environment
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - vendor = Oracle Corporation
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - vm name = Java HotSpot(TM) 64-Bit Server VM
2024-12-12 14:26:28.297 [VC] INFO  [JTS-PostAuthenticateS3-33] - username = 'Unknown'
2024-12-12 14:26:28.304 [VC] INFO  [AWT-EventQueue-0] - jtsLookAndFeel uninitialized
2024-12-12 14:26:28.307 [VC] INFO  [AWT-EventQueue-0] - JtsLookAndFeel initialized
2024-12-12 14:26:28.315 [VC] INFO  [AWT-EventQueue-0] - Current LAF: TWS LAF
